sr no,title,time,location,map_url
1,Jama Masjid,05:15 PM,Jama Masjid Kamptee,https://g.co/kgs/V2TgW2n
2,Masjid Warispura,05:15 PM,Waris Pura,https://g.co/kgs/mU755pJ
3,Masjid Daroga Sahab,05:15 PM,,
4,Masjid Ismail pura,05:15 PM,,
5,Badi Masjid,05:15 PM,,
6,Bunkar Colony Masjid,05:15 PM,Bunkar Colony,https://g.co/kgs/wNK1F5U
7,Masjid Fatima skbc,05:15 PM,,
8,Masjid Kolsatal,05:15 PM,,
9,Masjid Abu Bakar,05:15 PM,,
10,Madina Masjid,05:00 PM,,
11,Madarsa Darul Huda,05:00 PM,,
12,Madarsa Mohammadiya,05:15 PM,,
13,Masjid Ibrahim,05:15 PM,,
14,Masjid Wazeer,05:15 PM,,
15,Masjid Nale Paar,05:00 PM,,
16,Madarsa Darul Haque,05:00 PM,,
17,Masjid Sayeed Nagar,05:00 PM,,
18,Masjid Khadija R.A.,05:05 PM,,
19,Masjid Umar Farooq,05:15 PM,,
20,Masjid Anwarullum Yerkheda,05:15 PM,,
21,Masjid Hazrat Sulaiman,05:15 PM,,
22,Phool Oli Masjid,05:15 PM,,
23,Masjid Ammi Ayesha,05:15 PM,,
24,Masjid Hazrat Bilal,05:00 PM,,
25,Masjid Quba,05:15 PM,,
26,Masjid Azad Nagar,05:15 PM,,
27,Masjid Sailab Nagar,05:15 PM,,
28,Masjid Quabrastan,05:15 PM,,
29,Masjid Gharib Nawaz,05:15 PM,,
30,Masjid Sufi Nagar,05:05 PM,,
31,Masjid Khuzaima Yerkheda,05:15 PM,,
32,Masjid Faizan Madina,05:15 PM,,
33,Masjid Lakad Ganj,05:00 PM,,
34,Masjid Abdullah Shah,05:15 PM,,
35,Masjid Chaudhry,05:15 PM,,
36,Masjid Amrai,05:15 PM,,
37,Masjid H Aayesha Siddiqa,05:15 PM,,
38,Masjid e Numan,05:20 PM,,
39,Maktab Dar-e-Arqam,05:30 PM,,
40,Masjid Aalam Nagar,05:15 PM,,
41,Quadar Jhanda Jama Masjid,05:15 PM,,
42,Quadar Jhanda Badi Masjid,05:15 PM,,
43,Quadar Jhanda Chhoti Masjid,05:15 PM,,
44,Masjid Quazi,05:15 PM,,
