sr no,title,time,location,map_url
1,Jama Masjid,01:30 PM,Jama Masjid Kamptee,https://g.co/kgs/V2TgW2n
2,Masjid Warispura,01:30 PM,Waris Pura,https://g.co/kgs/mU755pJ
3,Masjid Daroga Sahab,01:00 PM,,
4,Masjid Ismail pura,01:30 PM,,
5,Badi Masjid,01:45 PM,,
6,Bunkar Colony Masjid,01:30 PM,Bunkar Colony,https://g.co/kgs/wNK1F5U
7,Masjid Fatima skbc,01:45 PM,,
8,Masjid Kolsatal,01:30 PM,,
9,Masjid Abu Bakar,01:15 PM,,
10,Madarsa Darul Huda,01:05 PM,,
11,Madarsa Mohammadiya,01:05 PM,,
12,Madina Masjid,01:15 PM,,
13,Masjid Ibrahim,01:00 PM,,
14,Masjid Wazeer,01:30 PM,,
15,Madarsa Darul Haq,01:00 PM,,
16,Masjid Saeed Nagar,01:15 PM,,
17,Masjid Khadija R.A.,01:45 PM,,
18,Masjid Umar Farooq,01:30 PM,,
19,Masjid Nale Paar,01:15 PM,,
20,Masjid Anwarullum Yerkheda,01:30 PM,,
21,Masjid Hazrat Sulaiman,01:15 PM,,
22,Phool Oli Masjid,01:20 PM,,
23,Masjid Ammi Ayesha,01:45 PM,,
24,Masjid Hazrat Bilal,01:15 PM,,
25,Masjid Quba,01:15 PM,,
26,Masjid Azad Nagar,01:30 PM,,
27,Masjid Sailab Nagar,01:30 PM,,
28,Masjid Quabrastan,01:30 PM,,
29,Masjid Gharib Nawaz,01:30 PM,,
30,Masjid Sufi Nagar,01:30 PM,,
31,Masjid Khuzaima Yerkheda,01:15 PM,,
32,Masjid Faizan Madina,01:40 PM,,
33,Masjid Lakad Ganj,01:30 PM,,
34,Masjid Abdullah Shah,01:15 PM,,
35,Masjid Chaudhry,01:30 PM,,
36,Masjid Amrai,01:30 PM,,
37,Masjid Hazrat Aayesha Siddiqa,01:30 PM,,
38,Masjid e Numan,01:15 PM,,
39,Maktab Dar-e-Arqam,02:15 PM,,
40,Masjid Aalam Nagar,01:30 PM,,
41,Quadar Jhanda Jama Masjid,01:30 PM,,
42,Quadar Jhanda Badi Masjid,01:30 PM,,
43,Quadar Jhanda Chhoti Masjid,01:30 PM,,
44,Masjid Quazi,01:20 PM,,
