sr no,title,time,location,map_url
1,Jama Masjid,05:10 AM,Jama Masjid Kamptee,https://g.co/kgs/V2TgW2n
2,Masjid Warispura,05:05 AM,Waris Pura,https://g.co/kgs/mU755pJ
3,Masjid Daroga Sahab,05:10 AM,,
4,Masjid Ismail pura,05:10 AM,,
5,Badi Masjid,05:05 AM,,
6,Bunkar Colony,05:05 AM,Bunkar Colony,https://g.co/kgs/wNK1F5U
7,Masjid Fatima skbc,05:00 AM,,
8,Masjid Wazeer,05:10 AM,,
9,Masjid Nale Paar,05:00 AM,,
10,Masjid Kolsatal,05:10 AM,,
11,Masjid Abu Bakar,05:15 AM,,
12,Madina Masjid,05:05 AM,,
13,Madarsa Darul Huda,05:10 AM,,
14,Madarsa Mohammadiya,05:10 AM,,
15,Masjid Ibrahim,05:10 AM,,
16,Madarsa Darul Haque,05:10 AM,,
17,Masjid Sayeed Nagar,05:10 AM,,
18,Masjid Khadija R.A.,05:15 AM,,
19,Masjid Umar Farooq,05:05 AM,,
20,Masjid Hazrat Sulaiman,05:10 AM,,
21,Masjid Anwarullum Yerkheda,05:05 AM,,
22,Phool Oli Masjid,05:10 AM,,
23,Masjid Ammi Ayesha,05:10 AM,,
24,Masjid Hazrat Bilal,05:10 AM,,
25,Masjid Quba,05:05 AM,,
26,Masjid Azad Nagar,05:15 AM,,
27,Masjid Sailab Nagar,05:10 AM,,
28,Masjid Quabrastan,05:05 AM,,
29,Masjid Gharib Nawaz,05:10 AM,,
30,Masjid Sufi Nagar,05:15 AM,,
31,Masjid Khuzaima Yerkheda,05:05 AM,,
32,Masjid Faizan Madina,05:05 AM,,
33,Masjid Lakad Ganj,05:20 AM,,
34,Masjid Abdullah Shah,05:05 AM,,
35,Masjid Chaudhry,05:30 AM,,
36,Masjid Amrai,05:30 AM,,
37,Masjid Hazrat Aayesha Siddiqa,05:20 AM,,
38,Masjid e Numan,05:10 AM,,
39,Maktab Dar-e-Arqam,05:10 AM,,
40,Masjid Aalam Nagar,05:15 AM,,
41,Quadar Jhanda Jama Masjid,05:14 AM,,
42,Quadar Jhanda Badi Masjid,05:10 AM,,
43,Quadar Jhanda Chhoti Masjid,05:15 AM,,
44,Masjid Quazi,05:10 AM,,
