sr no,title,time,location,map_url
1,Jama masjid,08:45 PM,Jama Masjid Kamptee,https://g.co/kgs/V2TgW2n
2,Masjid Warispura,08:30 PM,Waris Pura,https://g.co/kgs/mU755pJ
3,Masjid Daroga Sahab,08:30 PM,,
4,Masjid Abu Bakar,08:30 PM,,
5,Masjid Ismail pura,08:45 PM,,
6,Badi Masjid,08:30 PM,,
7,Bunkar Colony Masjid,08:30 PM,Bunkar Colony,https://g.co/kgs/wNK1F5U
8,Masjid Fatima skbc,08:30 PM,,
9,Masjid Kolsatal,08:30 PM,,
10,Madina Masjid,08:15 PM,,
11,Madarsa Darul Huda,08:20 PM,,
12,Madarsa Mohammadiya,08:30 PM,,
13,Masjid Ibrahim,08:30 PM,,
14,Masjid Wazeer Sahab,08:30 PM,,
15,Madarsa Darul Haque,08:20 PM,,
16,Masjid Saeed Nagar,08:30 PM,,
17,Masjid Khadija R.A.,08:45 PM,,
18,Masjid Umar Farooq,08:45 PM,,
19,Masjid Nale Paar,08:30 PM,,
20,Masjid Anwarullum Yerkheda,08:30 PM,,
21,Masjid Hazrat Sulaiman,08:30 PM,,
22,Phool Oli Masjid,08:30 PM,,
23,Masjid Ammi Ayesha,08:30 PM,,
24,Masjid Hazrat Bilal,08:30 PM,,
25,Masjid Quba,08:30 PM,,
26,Masjid Azad Nagar,08:30 PM,,
27,Masjid Sailab Nagar,08:30 PM,,
28,Masjid Quabrastan,08:30 PM,,
29,Masjid Gharib Nawaz,08:30 PM,,
30,Masjid Sufi Nagar,08:15 PM,,
31,Masjid Khuzaima Yerkheda,08:30 PM,,
32,Masjid Faizan Madina,08:45 PM,,
33,Masjid Lakad Ganj,08:30 PM,,
34,Masjid Abdullah Shah,08:30 PM,,
35,Masjid Chaudhry,08:15 PM,,
36,Masjid Amrai,08:30 PM,,
37,Masjid Aayesha Siddiqa,08:15 PM,,
38,Masjid e Numan,08:35 PM,,
39,Maktab Dar-e-Arqam,09:15 PM,,
40,Masjid Aalam Nagar,08:30 PM,,
41,Quadar Jhanda Jama Masjid,08:30 PM,,
42,Quadar Jhanda Badi Masjid,08:30 PM,,
43,Quadar Jhanda Chhoti Masjid,08:30 PM,,
44,Masjid Quazi,08:30 PM,,
