sr no,title,time,location,map_url
1,Jama Masjid,01:45 PM,Jama Masjid Kamptee,https://g.co/kgs/V2TgW2n
2,Masjid Warispura,01:30 PM,Waris Pura,https://g.co/kgs/mU755pJ
3,Masjid Daroga Sahab,01:15 PM,,
4,Masjid Ismail pura,01:30 PM,,
5,Badi Masjid,01:20 PM,,
6,Bunkar Colony Masjid,01:15 PM,Bunkar Colony,https://g.co/kgs/wNK1F5U
7,Masjid Fatima skbc,01:20 PM,,
8,Masjid Kolsatal,01:15 PM,,
9,Masjid Abu Bakar,01:30 PM,,
10,Masjid Ibrahim,01:20 PM,,
11,Madarsa Darul Huda,01:05 PM,,
12,Madarsa Mohammadiya,01:30 PM,,
13,Madina Masjid,01:20 PM,,
14,Masjid Wazeer,01:30 PM,,
15,Madarsa Darul Haq,12:45 PM,,
16,Masjid Saeed Nagar,01:30 PM,,
17,Masjid Khadija R.A.,01:15 PM,,
18,Masjid Umar Farooq,01:35 PM,,
19,Masjid Nale Paar,01:05 PM,,
20,Phool Oli Masjid,01:10 PM,,
21,Masjid Anwarullum Yerkheda,12:45 PM,,
22,Masjid Hazrat Suleman,01:30 PM,,
23,Masjid Ammi Ayesha,01:25 PM,,
24,Masjid Hazrat Bilal,01:15 PM,,
25,Masjid Quba,01:20 PM,,
26,Memon Hall,03:30 PM,,
27,Masjid Azad Nagar,01:30 PM,,
28,Masjid Sailab Nagar,02:00 PM,,
29,Masjid Quabrastan,01:30 PM,,
30,Masjid Gharib Nawaz,01:30 PM,,
31,Masjid Sufi Nagar,01:30 PM,,
32,Masjid Khuzaima Yerkheda,01:10 PM,,
33,Masjid Faizan Madina,01:35 PM,,
34,Masjid Lakad Ganj,01:30 PM,,
35,Masjid Abdullah Shah,01:10 PM,,
36,Masjid Chaudhary,01:30 PM,,
37,Masjid Ayesha Siddiqua,01:35 PM,,
38,Masjid e Numan,01:00 PM,,
39,Maktab Dar-e-Arqam,03:30 PM,,
40,Masjid Aalam Nagar,01:30 PM,,
41,Quadar Jhanda Jama Masjid,01:25 PM,,
42,Quadar Jhanda Badi Masjid,01:30 PM,,
43,Quadar Jhanda Chhoti Masjid,01:55 PM,,
44,Masjid Quazi,01:45 PM,,
